bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,c,sdst,64,14.854723,119,0.056754,31.408501,1748,17.125,6,46.299999,0,5.599999,0.641636,1.26856,0.228147,6.43118,1.315469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,c,sg,34,20.624013,6,0.108086,27.780899,336,0.985,4.309999,60,0,7.889999,0.942532,1.012519,0.125347,8.297369,0.946624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,32,19.72244,6,0.137629,19.074699,543,2.7,5.769999,60,0,7.55,1.16902,1.18858,0.165941,9.638759,1.962159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,33,20.030708,6,0.229745,19.074699,543,2.7,5.769999,60,0,7.55,1.11912,1.112229,0.144121,9.40355,1.49852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,36,38.038974,127,0.147109,31.8403,620,30.719999,5.7525,39.419998,47,7.666999,0.626093,1.86915,0.198212,8.10027,1.05776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,34,21.190549,6,0.17021,27.780899,336,2.7,5.769999,60,0,7.55,1.11912,1.112229,0.144121,9.40355,1.49852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,35,22.207086,7,0.12977,27.780899,336,0.985,4.309999,60,0,7.889999,0.989246,1.04936,0.129989,8.63234,1.13557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,33,20.543306,6,0.191799,27.780899,336,27.389999,6,53.34,0,7.769999,1.27013,1.080569,0.127689,10.444,1.319929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,sg,35,22.349605,7,0.100335,27.780899,336,2.7,5.769999,60,0,7.55,1.0693,1.058179,0.12723,9.02665,1.212409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,c,carb,53,46.231891,270,0.007036,26.551001,112,9.725,4.969999,58.044998,6,5.666999,0.611252,1.89573,0.765563,5.897739,1.14136,0.164424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
