"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"
4058	17035	0	2212	766094.3013	4334357.229	3	0	20	13.3151246	1	0.892857143	13.05733418	122.051458	77.179554	0.196344	1	0.932642487	12.82067828	274.4322211	172.122786	0.196344	1	0.941520468	13.28637871	517.6900086	328.308984	0.196344	1	0.943965517	13.81128596	747.4911968	481.686372	0.196344	1	1	0.196344	77.375898	172.31913	328.505328	481.882716
4059	17036	0	2212	766101.0978	4334364.471	3	0	26	21.54608732	1	0.972972973	13.32578615	169.3959369	107.503794	0	0	0.93627451	13.39288834	312.152425	198.591048	0.196344	1	0.945402299	13.55392687	542.7308437	347.676138	0.196344	1	0.953346856	13.74595284	788.7467018	507.025656	0.196344	1	1	0.196344	107.503794	198.787392	347.872482	507.222
4060	17037	0	2212	766108.3879	4334364.26	3	0	15	28.4119294	1	0.970588235	12.94246317	198.7269455	124.247574	0	0	0.957345972	13.09046178	314.0473473	197.200278	0	0	0.946629213	13.4609503	551.134595	350.82855	0.196344	1	0.944664032	13.79882439	812.3587115	522.35685	0.905364	1	1	0.196344	124.247574	197.200278	351.024894	523.262214
4061	17038	0	2212	766107.3081	4334361.376	3	0	19	26.72164413	1	0.969924812	13.13521353	199.0894124	125.152938	0	0	0.949541284	12.89406378	317.1904238	197.674776	0	0	0.945868946	13.34348423	536.23076	339.876918	0.196344	1	0.947162427	13.75889118	816.7039489	524.500272	0.905364	1	1	0.196344	125.152938	197.674776	340.073262	525.405636
4062	17039	0	2212	766109.6374	4334361.528	3	0	9	29.04288269	1	0.969924812	12.65861768	187.9364583	116.235648	0	0	0.959276018	12.90112065	321.7280673	200.614482	0	0	0.947222222	13.40882759	554.4067612	352.039338	0.196344	1	0.945631068	13.83520567	828.4248406	533.466648	1.347138	1	1	0.196344	116.235648	200.614482	352.235682	534.813786
4063	17040	0	2212	766104.0573	4334358.347	3	0	14	23.11887474	1	0.966942149	13.20468237	182.3941733	115.068492	0	0	0.930875576	12.87241524	313.1183648	195.204114	0.196344	1	0.943019943	13.28952326	531.8680484	337.133556	0.196344	1	0.945233266	13.70304599	781.9928118	501.817086	0.905364	1	1	0.196344	115.068492	195.400458	337.3299	502.72245
4064	17041	0	2212	766100.8835	4334356.442	3	0	17	19.88927369	1	0.954545455	12.81228104	158.0120292	98.482878	0	0	0.924882629	12.88849128	307.8570521	192.068064	0.196344	1	0.93982808	13.3754364	534.0006028	339.555132	0.196344	1	0.940206186	13.61214371	760.9387362	487.09674	0.905364	1	1	0.196344	98.482878	192.264408	339.751476	488.002104
4065	17042	0	2212	766109.9352	4334359.196	3	0	7	29.04525555	1	0.961538462	12.74573835	185.6329786	115.183026	0	0	0.950672646	12.93758733	326.3368667	203.576004	0	0	0.942934783	13.3499329	562.8458429	356.729778	0.196344	1	0.94379845	13.82733931	828.2669382	533.902968	1.347138	1	1	0.196344	115.183026	203.576004	356.926122	535.250106
4066	17043	0	2212	766108.7801	4334358.803	3	0	7	27.86234735	1	0.962121212	12.91639785	192.0707734	120.107988	0	0	0.950226244	12.88796134	321.3183722	200.205432	0	0	0.944751381	13.38653973	556.0243227	352.824714	0.196344	1	0.94488189	13.85790692	819.6775813	528.934374	0.905364	1	1	0.196344	120.107988	200.205432	353.021058	529.839738
4067	17044	0	2212	766112.1602	4334358.1	3	0	20	31.19486102	1	0.958041958	12.62642362	201.1211707	124.340292	0	0	0.959276018	12.90076991	322.0307005	200.603574	0	0	0.934782609	13.24169422	552.9402462	349.056	0.905364	1	0.9375	13.77104688	817.377522	525.427452	1.347138	1	1	0.196344	124.340292	200.603574	349.961364	526.77459
4068	17045	0	2212	766110.2206	4334356.978	3	0	6	29.22568338	1	0.95620438	12.68196029	193.9537532	120.173436	0	0	0.949771689	12.9311489	320.4092598	199.72548	0	0	0.935135135	13.32787127	561.4356279	355.551714	0.905364	1	0.935294118	13.71635301	808.8255417	519.209892	1.347138	1	1	0.196344	120.173436	199.72548	356.457078	520.55703
4069	17046	0	2212	766115.3709	4334357.64	3	0	18	31.23481667	1	0.952702703	12.78829701	212.1282385	132.008616	0	0	0.961206897	12.7505916	331.9829298	205.713972	0	0	0.938829787	13.17667124	562.4204508	353.211948	0.905364	1	0.932270916	13.74648549	800.3499293	513.24867	1.347138	1	2	0.70902	132.008616	205.713972	354.117312	514.595808
